vehicle_id,company,region,brand,area_name,composite_name,generation_year,generation_sales_name,sales_geo_area,body_type,body_type_sales_name,model_code,version_year,version_sales_name,vehicle_platform,market_segment,type_name,type_code_,door_count,energy_type,steering_position_type,steering_box_type,power_transoutput_type,output_power_kw,output_power_hp,sales_horse_power_hp,capacity,feature_configuration,start_of_production_from,end_of_production_to,start_of_sales_from,end_of_sales_to,emission_standard,gross_vehicle_weight,co2_emission_from_kg,co2_emission_to_kg,power_train_type,drive_type,drive_type_sales_name,catalyst_type,voltage_type,gearbox,engine,brake_type,brake_disc_thickness,brake_outer_diameter,rim_measurement_type,suspension_type,wheel_suspension_type,wheel_count_type,brake_name,brake_system_type,engine_reference,additional_code_engine,engine_sales_name,catalogue_display_code,aspiration_type,aspiration_intercooler,gearbox_reference,additional_code_gearbox,gearbox_sales_name,source_url_1,source_url_2,source_url_3
F4BA530_2024,AUDI AG,DE,Audi,Q4,Q4 e-tron 45 e-tron,2024,,,e-tron,,,,,,,45 e-tron,,,,"Elektromechanische Lenkung mit geschwindigkeitsabhängiger Servounterstützung; Wendekreis ca. 10,2 m",,,210,,,210 kW,,,,,,,"2,660 kg",,,,Heckantrieb,,,,,,"Diagonal-2-Kreis Bremssystem mit ESC/ABS/EBV, Bremskraftverstärker, hydraulischer Bremsassistent; vorn: Faustsattel, Bremsscheibe innenbelüftet",,,,,,,,,Elektro,,,,,,,,,https://www.audi.de/de/brand/de/neuwagen/q4-e-tron/q4-e-tron.engine_compare.F4BA530_2024.techdata.html,https://www.audi.de/de/brand/de/neuwagen/q4-e-tron/q4-e-tron.modelsinfo.mv-502.35.611206.json,https://www.audi.de/de/brand/de/neuwagen/q4-e-tron/q4-e-tron.carinfo.mv-502.35.611206.json
F4BA430_2024,AUDI AG,DE,Audi,Q4,Q4 e-tron 45 e-tron quattro,2024,,,e-tron,,,,,,,45 e-tron quattro,,,,"Elektromechanische Lenkung mit geschwindigkeitsabhängiger Servounterstützung; Wendekreis ca. 11,5 m",,,210,,,210 kW,,,,,,,"2,750 kg",,,,Allradantrieb quattro,,,,,,"Diagonal-2-Kreis Bremssystem mit ESC/ABS/EBV, Bremskraftverstärker, hydraulischer Bremsassistent; vorn: Faustsattel, Bremsscheibe innenbelüftet",,,,,,,,,Elektro,,,,,,,,,https://www.audi.de/de/brand/de/neuwagen/q4-e-tron/q4-e-tron.engine_compare.F4BA530_2024.techdata.html,https://www.audi.de/de/brand/de/neuwagen/q4-e-tron/q4-e-tron.modelsinfo.mv-502.35.611206.json,https://www.audi.de/de/brand/de/neuwagen/q4-e-tron/q4-e-tron.carinfo.mv-502.35.611206.json
F4BAU30_2024,AUDI AG,DE,Audi,Q4,Q4 e-tron 55 e-tron quattro,2024,,,e-tron,,,,,,,55 e-tron quattro,,,,"Elektromechanische Lenkung mit geschwindigkeitsabhängiger Servounterstützung; Wendekreis ca. 11,5 m",,,250,,,250 kW,,,,,,,"2,750 kg",,,,Allradantrieb quattro,,,,,,"Diagonal-2-Kreis Bremssystem mit ESC/ABS/EBV, Bremskraftverstärker, hydraulischer Bremsassistent; vorn: Faustsattel, Bremsscheibe innenbelüftet",,,,,,,,,Elektro,,,,,,,,,https://www.audi.de/de/brand/de/neuwagen/q4-e-tron/q4-e-tron.engine_compare.F4BA530_2024.techdata.html,https://www.audi.de/de/brand/de/neuwagen/q4-e-tron/q4-e-tron.modelsinfo.mv-502.35.611206.json,https://www.audi.de/de/brand/de/neuwagen/q4-e-tron/q4-e-tron.carinfo.mv-502.35.611206.json
GETSWC0_2025,AUDI AG,DE,Audi,SQ8,SQ8 Sportback e-tron e-tron quattro,2025,,,Sportback e-tron,,,,,,,SQ8 Sportback  e-tron,,,,"Elektromechanische Progressivlenkung mit geschwindigkeitsabhängiger Servounterstützung; Wendekreis ca. 12,2 m",,,370,,,370 kW,,,,,,,"3,290 kg",,,,Permanenter Allradantrieb quattro,,,,,,"Diagonal-2-Kreis Bremssystem mit ESC/ABS/EBV, Bremskraftverstärker, hydraulischer Bremsassistent; vorn: Aluminium-Festsattel, Bremsscheibe innenbelüftet; hinten: Faustsattel mit integrierter elektr. Parkbremse, Bremsscheibe innenbelüftet",,,,,,,,,Elektro,,,,,,Zweistufig übersetzte Planetenradgetriebe mit einer Gangstufe,,,https://www.audi.de/de/brand/de/neuwagen/q8-e-tron/sq8-sportback-e-tron.engine_infolayer.getswc_0.html,https://www.audi.de/de/brand/de/neuwagen/q8-e-tron/sq8-sportback-e-tron.modelsinfo.mv-502.79.604046.json,https://www.audi.de/de/brand/de/neuwagen/q8-e-tron/sq8-sportback-e-tron.carinfo.mv-502.79.604046.json
F4NA530_2024,AUDI AG,DE,Audi,Q4,Q4 Sportback e-tron 45 e-tron,2024,,,Sportback e-tron,,,,,,,45 e-tron,,,,"Elektromechanische Lenkung mit geschwindigkeitsabhängiger Servounterstützung; Wendekreis ca. 10,2 m",,,210,,,210 kW,,,,,,,"2,660 kg",,,,Heckantrieb,,,,,,"Diagonal-2-Kreis Bremssystem mit ESC/ABS/EBV, Bremskraftverstärker, hydraulischer Bremsassistent; vorn: Faustsattel, Bremsscheibe innenbelüftet",,,,,,,,,Elektro,,,,,,,,,https://www.audi.de/de/brand/de/neuwagen/q4-e-tron/q4-e-tron-sportback.engine_compare.F4NA530_2024.techdata.html,https://www.audi.de/de/brand/de/neuwagen/q4-e-tron/q4-e-tron-sportback.modelsinfo.mv-502.33.801112.json,https://www.audi.de/de/brand/de/neuwagen/q4-e-tron/q4-e-tron-sportback.carinfo.mv-502.33.801112.json
F4NA430_2024,AUDI AG,DE,Audi,Q4,Q4 Sportback e-tron 45 e-tron quattro,2024,,,Sportback e-tron,,,,,,,45 e-tron quattro,,,,"Elektromechanische Lenkung mit geschwindigkeitsabhängiger Servounterstützung; Wendekreis ca. 11,5 m",,,210,,,210 kW,,,,,,,"2,750 kg",,,,Allradantrieb quattro,,,,,,"Diagonal-2-Kreis Bremssystem mit ESC/ABS/EBV, Bremskraftverstärker, hydraulischer Bremsassistent; vorn: Faustsattel, Bremsscheibe innenbelüftet",,,,,,,,,Elektro,,,,,,,,,https://www.audi.de/de/brand/de/neuwagen/q4-e-tron/q4-e-tron-sportback.engine_compare.F4NA530_2024.techdata.html,https://www.audi.de/de/brand/de/neuwagen/q4-e-tron/q4-e-tron-sportback.modelsinfo.mv-502.33.801112.json,https://www.audi.de/de/brand/de/neuwagen/q4-e-tron/q4-e-tron-sportback.carinfo.mv-502.33.801112.json
F4NAU30_2024,AUDI AG,DE,Audi,Q4,Q4 Sportback e-tron 55 e-tron quattro,2024,,,Sportback e-tron,,,,,,,55 e-tron quattro,,,,"Elektromechanische Lenkung mit geschwindigkeitsabhängiger Servounterstützung; Wendekreis ca. 11,5 m",,,250,,,250 kW,,,,,,,"2,750 kg",,,,Allradantrieb quattro,,,,,,"Diagonal-2-Kreis Bremssystem mit ESC/ABS/EBV, Bremskraftverstärker, hydraulischer Bremsassistent; vorn: Faustsattel, Bremsscheibe innenbelüftet",,,,,,,,,Elektro,,,,,,,,,https://www.audi.de/de/brand/de/neuwagen/q4-e-tron/q4-e-tron-sportback.engine_compare.F4NA530_2024.techdata.html,https://www.audi.de/de/brand/de/neuwagen/q4-e-tron/q4-e-tron-sportback.modelsinfo.mv-502.33.801112.json,https://www.audi.de/de/brand/de/neuwagen/q4-e-tron/q4-e-tron-sportback.carinfo.mv-502.33.801112.json
GEJ0VC1_2025,AUDI AG,DE,Audi,Q8 SUV,Q8 SUV e-tron edition Dakar 55 e-tron quattro,2025,,,e-tron,,,,,,,edition Dakar 55 e-tron quattro,,,,"Elektromechanische Progressivlenkung mit geschwindigkeitsabhängiger Servounterstützung; Wendekreis ca. 12,2 m",,,300,,,300 kW,,,,,,,"3,180 kg",,,,Permanenter Allradantrieb quattro,,,,,,"Diagonal-2-Kreis Bremssystem mit ESC/ABS/EBV, Bremskraftverstärker, hydraulischer Bremsassistent; vorn: Aluminium-Festsattel, Bremsscheibe innenbelüftet; hinten: Faustsattel mit integrierter elektr. Parkbremse, Bremsscheibe innenbelüftet",,,,,,,,,Elektro,,,,,,Zweistufig übersetztes Planetenradgetriebe mit einer Gangstufe,,,https://www.audi.de/de/brand/de/neuwagen/q8-e-tron/q8-suv-e-tron.engine_compare.gegbub_0.techdata.html,https://www.audi.de/de/brand/de/neuwagen/q8-e-tron/q8-suv-e-tron.modelsinfo.mv-502.88.979370.json,https://www.audi.de/de/brand/de/neuwagen/q8-e-tron/q8-suv-e-tron.carinfo.mv-502.88.979370.json
GEGBUB0_2025,AUDI AG,DE,Audi,Q8 SUV,Q8 SUV e-tron advanced 50 e-tron quattro,2025,,,e-tron,,,,,,,advanced 50 e-tron quattro,,,,"Elektromechanische Progressivlenkung mit geschwindigkeitsabhängiger Servounterstützung; Wendekreis ca. 12,2 m",,,250,,,250 kW,,,,,,,"3,170 kg",,,,Permanenter Allradantrieb quattro,,,,,,"Diagonal-2-Kreis Bremssystem mit ESC/ABS/EBV, Bremskraftverstärker, hydraulischer Bremsassistent; vorn: Aluminium-Festsattel, Bremsscheibe innenbelüftet; hinten: Faustsattel mit integrierter elektr. Parkbremse, Bremsscheibe innenbelüftet",,,,,,,,,Elektro,,,,,,Zweistufig übersetztes Planetenradgetriebe mit einer Gangstufe,,,https://www.audi.de/de/brand/de/neuwagen/q8-e-tron/q8-suv-e-tron.engine_compare.gegbub_0.techdata.html,https://www.audi.de/de/brand/de/neuwagen/q8-e-tron/q8-suv-e-tron.modelsinfo.mv-502.88.979370.json,https://www.audi.de/de/brand/de/neuwagen/q8-e-tron/q8-suv-e-tron.carinfo.mv-502.88.979370.json
GEGBVC0_2025,AUDI AG,DE,Audi,Q8 SUV,Q8 SUV e-tron advanced 55 e-tron quattro,2025,,,e-tron,,,,,,,advanced 55 e-tron quattro,,,,"Elektromechanische Progressivlenkung mit geschwindigkeitsabhängiger Servounterstützung; Wendekreis ca. 12,2 m",,,300,,,300 kW,,,,,,,"3,180 kg",,,,Permanenter Allradantrieb quattro,,,,,,"Diagonal-2-Kreis Bremssystem mit ESC/ABS/EBV, Bremskraftverstärker, hydraulischer Bremsassistent; vorn: Aluminium-Festsattel, Bremsscheibe innenbelüftet; hinten: Faustsattel mit integrierter elektr. Parkbremse, Bremsscheibe innenbelüftet",,,,,,,,,Elektro,,,,,,Zweistufig übersetztes Planetenradgetriebe mit einer Gangstufe,,,https://www.audi.de/de/brand/de/neuwagen/q8-e-tron/q8-suv-e-tron.engine_compare.gegbub_0.techdata.html,https://www.audi.de/de/brand/de/neuwagen/q8-e-tron/q8-suv-e-tron.modelsinfo.mv-502.88.979370.json,https://www.audi.de/de/brand/de/neuwagen/q8-e-tron/q8-suv-e-tron.carinfo.mv-502.88.979370.json
