vehicle_id,company,region,brand,area_name,composite_name,generation_year,generation_sales_name,sales_geo_area,body_type,body_type_sales_name,model_code,version_year,version_sales_name,vehicle_platform,market_segment,type_name,type_code_,door_count,energy_type,steering_position_type,steering_box_type,power_transoutput_type,output_power_kw,output_power_hp,sales_horse_power_hp,capacity,feature_configuration,start_of_production_from,end_of_production_to,start_of_sales_from,end_of_sales_to,emission_standard,gross_vehicle_weight,co2_emission_from,co2_emission_to,power_train_type,drive_type,drive_type_sales_name,catalyst_type,voltage_type,gearbox,engine,brake_type,brake_disc_thickness,brake_outer_diameter,rim_measurement_type,suspension_type,wheel_suspension_type,wheel_count_type,brake_name,brake_system_type,engine_reference,additional_code_engine,engine_sales_name,catalogue_display_code,aspiration_type,aspiration_intercooler,gearbox_reference,additional_code_gearbox,gearbox_sales_name,source_url_1,source_url_2,source_url_3
F83RJ71_2024,AUDI AG,DE,Audi, ,  e-tron GT quattro quattro,2024,,,e-tron GT quattro,,,,,,,e-tron GT   quattro,,,,"Elektromechanische Lenkung mit geschwindigkeitsabhängiger Servounterstützung; Wendekreis ca. 11,6 m",,,350,,,350 kW,,,,,,N/A,2.840 kg,,,,Allradantrieb quattro,,,,,,"2-Kreis Bremssystem mit Schwarz/Weiß-Aufteilung für VA/HA; ESC/ABS/EBV; Bremskraftverstärker, hydraulischer Bremsassistent; vorn: Aluminium-Festsattel, Bremsscheibe innenbelüftet; hinten: Aluminium-Festsattel, Bremsscheibe innenbelüftet",,,,,,,,,Elektro,,,,,,,,,https://www.audi.de/de/brand/de/neuwagen/e-tron-gt/audi-e-tron-gt/antrieb.html,https://www.audi.de/de/brand/de/neuwagen/e-tron-gt/audi-e-tron-gt.modelsinfo.mv-258.51.925146.json,https://www.audi.de/de/brand/de/neuwagen/e-tron-gt/audi-e-tron-gt.carinfo.mv-258.51.925146.json
GBH0T41_2024,AUDI AG,DE,Audi,A1,A1 allstreet 25 TFSI Schaltgetriebe,2024,,,allstreet,,,,,,,25 TFSI,,,,"Elektromechanische Lenkung mit geschwindigkeitsabhängiger Servounterstützung; Wendekreis ca. 10,6 m",,,70,95,,70 kW (95 PS),,,,,,Euro 6d-ISC-FCM,1.660 kg,134–129 g/km,,,Vorderradantrieb,,,,,,"Diagonal-2-Kreis Bremssystem mit ESC/ABS/EBV, Bremskraftverstärker, hydraulischer Bremsassistent; vorn: Faustsattel, Bremsscheibe innenbelüftet",,,,,,,,,"Reihen-3-Zylinder-Ottomotor mit Direkteinspritzung, Lambda-Regelung, Klopfregelung und Abgasturboaufladung",,,,,,5-Gang-Handschaltgetriebe,,,https://www.audi.de/de/brand/de/neuwagen/a1/a1-allstreet/motor.html,https://www.audi.de/de/brand/de/neuwagen/a1/a1-allstreet.modelsinfo.mv-258.55.649219.json,https://www.audi.de/de/brand/de/neuwagen/a1/a1-allstreet.carinfo.mv-258.55.649219.json
GBH0MC1_2024,AUDI AG,DE,Audi,A1,A1 allstreet 30 TFSI Schaltgetriebe,2024,,,allstreet,,,,,,,30 TFSI,,,,"Elektromechanische Lenkung mit geschwindigkeitsabhängiger Servounterstützung; Wendekreis ca. 10,6 m",,,81,110,,81 kW (110 PS),,,,,,Euro 6d-ISC-FCM,1.675 kg,136–128 g/km,,,Vorderradantrieb,,,,,,"Diagonal-2-Kreis Bremssystem mit ESC/ABS/EBV, Bremskraftverstärker, hydraulischer Bremsassistent; vorn: Faustsattel, Bremsscheibe innenbelüftet; hinten: Faustsattel mit integrierter Parkbremse",,,,,,,,,"Reihen-3-Zylinder-Ottomotor mit Direkteinspritzung, Lambda-Regelung, Klopfregelung und Abgasturboaufladung",,,,,,6-Gang-Handschaltgetriebe,,,https://www.audi.de/de/brand/de/neuwagen/a1/a1-allstreet/motor.html,https://www.audi.de/de/brand/de/neuwagen/a1/a1-allstreet.modelsinfo.mv-258.55.649219.json,https://www.audi.de/de/brand/de/neuwagen/a1/a1-allstreet.carinfo.mv-258.55.649219.json
GBH0MG1_2024,AUDI AG,DE,Audi,A1,A1 allstreet 30 TFSI S tronic,2024,,,allstreet,,,,,,,30 TFSI,,,,"Elektromechanische Lenkung mit geschwindigkeitsabhängiger Servounterstützung; Wendekreis ca. 10,6 m",,,81,110,,81 kW (110 PS),,,,,,Euro 6d-ISC-FCM,1.695 kg,147–140 g/km,,,Vorderradantrieb,,,,,,"Diagonal-2-Kreis Bremssystem mit ESC/ABS/EBV, Bremskraftverstärker, hydraulischer Bremsassistent; vorn: Faustsattel, Bremsscheibe innenbelüftet; hinten: Faustsattel mit integrierter Parkbremse",,,,,,,,,"Reihen-3-Zylinder-Ottomotor mit Direkteinspritzung, Lambda-Regelung, Klopfregelung und Abgasturboaufladung",,,,,,7-Gang S tronic,,,https://www.audi.de/de/brand/de/neuwagen/a1/a1-allstreet/motor.html,https://www.audi.de/de/brand/de/neuwagen/a1/a1-allstreet.modelsinfo.mv-258.55.649219.json,https://www.audi.de/de/brand/de/neuwagen/a1/a1-allstreet.carinfo.mv-258.55.649219.json
GBH0HG1_2024,AUDI AG,DE,Audi,A1,A1 allstreet 35 TFSI S tronic,2024,,,allstreet,,,,,,,35 TFSI,,,,"Elektromechanische Lenkung mit geschwindigkeitsabhängiger Servounterstützung; Wendekreis ca. 10,6 m",,,110,150,,110 kW (150 PS),,,,,,Euro 6d-ISC-FCM,1.740 kg,140–134 g/km,,,Vorderradantrieb,,,,,,"Diagonal-2-Kreis Bremssystem mit ESC/ABS/EBV, Bremskraftverstärker, hydraulischer Bremsassistent; vorn: Faustsattel, Bremsscheibe innenbelüftet; hinten: Faustsattel mit integrierter Parkbremse",,,,,,,,,"Reihen-4-Zylinder-Ottomotor mit Direkteinspritzung, Lambda-Regelung, Klopfregelung und Abgasturboaufladung",,,,,,7-Gang S tronic,,,https://www.audi.de/de/brand/de/neuwagen/a1/a1-allstreet/motor.html,https://www.audi.de/de/brand/de/neuwagen/a1/a1-allstreet.modelsinfo.mv-258.55.649219.json,https://www.audi.de/de/brand/de/neuwagen/a1/a1-allstreet.carinfo.mv-258.55.649219.json
GBAAT41_2024,AUDI AG,DE,Audi,A1,A1 Sportback 25 TFSI Schaltgetriebe,2024,,,Sportback,,,,,,,25 TFSI,,,,"Elektromechanische Lenkung mit geschwindigkeitsabhängiger Servounterstützung; Wendekreis ca. 10,6 m",,,70,95,,70 kW (95 PS),,,,,,Euro 6d-ISC-FCM,1.630 kg,134–124 g/km,,,Vorderradantrieb,,,,,,"Diagonal-2-Kreis Bremssystem mit ESC/ABS/EBV, Bremskraftverstärker, hydraulischer Bremsassistent; vorn: Faustsattel, Bremsscheibe innenbelüftet",,,,,,,,,"Reihen-3-Zylinder-Ottomotor mit Direkteinspritzung, Lambda-Regelung, Klopfregelung und Abgasturboaufladung",,,,,,5-Gang-Handschaltgetriebe,,,https://www.audi.de/de/brand/de/neuwagen/a1/a1-sportback/motor.html,https://www.audi.de/de/brand/de/neuwagen/a1/a1-sportback.modelsinfo.mv-258.73.932478.json,https://www.audi.de/de/brand/de/neuwagen/a1/a1-sportback.carinfo.mv-258.73.932478.json
GBAATG1_2024,AUDI AG,DE,Audi,A1,A1 Sportback 25 TFSI S tronic,2024,,,Sportback,,,,,,,25 TFSI,,,,"Elektromechanische Lenkung mit geschwindigkeitsabhängiger Servounterstützung; Wendekreis ca. 10,6 m",,,70,95,,70 kW (95 PS),,,,,,Euro 6d-ISC-FCM,1.675 kg,141–131 g/km,,,Vorderradantrieb,,,,,,"Diagonal-2-Kreis Bremssystem mit ESC/ABS/EBV, Bremskraftverstärker, hydraulischer Bremsassistent; vorn: Faustsattel, Bremsscheibe innenbelüftet",,,,,,,,,"Reihen-3-Zylinder-Ottomotor mit Direkteinspritzung, Lambda-Regelung, Klopfregelung und Abgasturboaufladung",,,,,,7-Gang S tronic,,,https://www.audi.de/de/brand/de/neuwagen/a1/a1-sportback/motor.html,https://www.audi.de/de/brand/de/neuwagen/a1/a1-sportback.modelsinfo.mv-258.73.932478.json,https://www.audi.de/de/brand/de/neuwagen/a1/a1-sportback.carinfo.mv-258.73.932478.json
GBAAMC1_2024,AUDI AG,DE,Audi,A1,A1 Sportback 30 TFSI Schaltgetriebe,2024,,,Sportback,,,,,,,30 TFSI,,,,"Elektromechanische Lenkung mit geschwindigkeitsabhängiger Servounterstützung; Wendekreis ca. 10,6 m ",,,81,110,,81 kW (110 PS),,,,,,Euro 6d-ISC-FCM,1.655 kg,132–120 g/km,,,Vorderradantrieb,,,,,,"Diagonal-2-Kreis Bremssystem mit ESC/ABS/EBV, Bremskraftverstärker, hydraulischer Bremsassistent; vorn: Faustsattel, Bremsscheibe innenbelüftet; hinten: Faustsattel mit integrierter Parkbremse",,,,,,,,,"Reihen-3-Zylinder-Ottomotor mit Direkteinspritzung, Lambda-Regelung, Klopfregelung und Abgasturboaufladung",,,,,,6-Gang-Handschaltgetriebe,,,https://www.audi.de/de/brand/de/neuwagen/a1/a1-sportback/motor.html,https://www.audi.de/de/brand/de/neuwagen/a1/a1-sportback.modelsinfo.mv-258.73.932478.json,https://www.audi.de/de/brand/de/neuwagen/a1/a1-sportback.carinfo.mv-258.73.932478.json
GBAAMG1_2024,AUDI AG,DE,Audi,A1,A1 Sportback 30 TFSI S tronic,2024,,,Sportback,,,,,,,30 TFSI,,,,"Elektromechanische Lenkung mit geschwindigkeitsabhängiger Servounterstützung; Wendekreis ca. 10,6 m ",,,81,110,,81 kW (110 PS),,,,,,Euro 6d-ISC-FCM,1.680 kg,139–129 g/km,,,Vorderradantrieb,,,,,,"Diagonal-2-Kreis Bremssystem mit ESC/ABS/EBV, Bremskraftverstärker, hydraulischer Bremsassistent; vorn: Faustsattel, Bremsscheibe innenbelüftet; hinten: Faustsattel mit integrierter Parkbremse",,,,,,,,,"Reihen-3-Zylinder-Ottomotor mit Direkteinspritzung, Lambda-Regelung, Klopfregelung und Abgasturboaufladung",,,,,,7-Gang S tronic,,,https://www.audi.de/de/brand/de/neuwagen/a1/a1-sportback/motor.html,https://www.audi.de/de/brand/de/neuwagen/a1/a1-sportback.modelsinfo.mv-258.73.932478.json,https://www.audi.de/de/brand/de/neuwagen/a1/a1-sportback.carinfo.mv-258.73.932478.json
GBAAHG1_2024,AUDI AG,DE,Audi,A1,A1 Sportback 35 TFSI S tronic,2024,,,Sportback,,,,,,,35 TFSI,,,,Elektromechanische Lenkung mit geschwindigkeitsabhängiger Servounterstützung,,,110,150,,110 kW (150 PS),,,,,,Euro 6d-ISC-FCM,1.710 kg,137–130 g/km,,,Vorderradantrieb,,,,,,"Diagonal-2-Kreis Bremssystem mit ESC/ABS/EBV, Bremskraftverstärker, hydraulischer Bremsassistent; vorn: Faustsattel, Bremsscheibe innenbelüftet; hinten: Faustsattel mit integrierter Parkbremse",,,,,,,,,"Reihen-4-Zylinder-Ottomotor mit Direkteinspritzung, Lambda-Regelung, Klopfregelung und Abgasturboaufladung",,,,,,7-Gang S tronic,,,https://www.audi.de/de/brand/de/neuwagen/a1/a1-sportback/motor.html,https://www.audi.de/de/brand/de/neuwagen/a1/a1-sportback.modelsinfo.mv-258.73.932478.json,https://www.audi.de/de/brand/de/neuwagen/a1/a1-sportback.carinfo.mv-258.73.932478.json
