vehicle_id,company,region,brand,area_name,composite_name,generation_year,generation_sales_name,sales_geo_area,body_type,body_type_sales_name,model_code,version_year,version_sales_name,vehicle_platform,market_segment,type_name,type_code_,door_count,energy_type,steering_position_type,steering_box_type,power_transoutput_type,output_power_kw,output_power_hp,sales_horse_power_hp,capacity,feature_configuration,start_of_production_from,end_of_production_to,start_of_sales_from,end_of_sales_to,emission_standard,seat_count,gross_vehicle_weight,co2_emission_from_kg,co2_emission_to_kg,power_train_type,drive_type,drive_type_sales_name,catalyst_type,voltage_type,gearbox,engine,brake_type,brake_disc_thickness,brake_outer_diameter,rim_measurement_type,suspension_type,wheel_suspension_type,wheel_count_type,brake_name,brake_system_type,engine_reference,additional_code_engine,engine_sales_name,catalogue_display_code,aspiration_type,aspiration_intercooler,gearbox_reference,additional_code_gearbox,gearbox_sales_name,source_url_1,source_url_2,source_url_3
GBAAU42_2024,AUDI AG,DE,Audi,A1,A1 Sportback 25 TFSI Schaltgetriebe,2024,,,Sportback,,,,,,,25 TFSI,,,,"Elektromechanische Lenkung mit geschwindigkeitsabhängiger Servounterstützung; Wendekreis ca. 10,6 m",,,70,95,,70 ,,,,,,,,"1,630",120,129,,Vorderradantrieb,,,,,,"Diagonal-2-Kreis Bremssystem mit ESC/ABS/EBV, Bremskraftverstärker, hydraulischer Bremsassistent; vorn: Faustsattel, Bremsscheibe innenbelüftet",,,,,,,,,"Reihen-3-Zylinder-Ottomotor mit Direkteinspritzung, Lambda-Regelung, Klopfregelung und Abgasturboaufladung",,,,,,5-Gang-Handschaltgetriebe,,,https://www.audi.de/de/brand/de/neuwagen/a1/a1-sportback.engine_compare.GBAAU42_2024.techdata.html,https://www.audi.de/de/brand/de/neuwagen/a1/a1-sportback.modelsinfo.mv-552.92.313813.json,https://www.audi.de/de/brand/de/neuwagen/a1/a1-sportback.carinfo.mv-552.92.313813.json
GBAAUG2_2024,AUDI AG,DE,Audi,A1,A1 Sportback 25 TFSI S tronic,2024,,,Sportback,,,,,,,25 TFSI,,,,"Elektromechanische Lenkung mit geschwindigkeitsabhängiger Servounterstützung; Wendekreis ca. 10,6 m",,,70,95,,70 ,,,,,,,,"1,675",124,132,,Vorderradantrieb,,,,,,"Diagonal-2-Kreis Bremssystem mit ESC/ABS/EBV, Bremskraftverstärker, hydraulischer Bremsassistent; vorn: Faustsattel, Bremsscheibe innenbelüftet",,,,,,,,,"Reihen-3-Zylinder-Ottomotor mit Direkteinspritzung, Lambda-Regelung, Klopfregelung und Abgasturboaufladung",,,,,,7-Gang S tronic,,,https://www.audi.de/de/brand/de/neuwagen/a1/a1-sportback.engine_compare.GBAAU42_2024.techdata.html,https://www.audi.de/de/brand/de/neuwagen/a1/a1-sportback.modelsinfo.mv-552.92.313813.json,https://www.audi.de/de/brand/de/neuwagen/a1/a1-sportback.carinfo.mv-552.92.313813.json
GBAAPC2_2024,AUDI AG,DE,Audi,A1,A1 Sportback 30 TFSI Schaltgetriebe,2024,,,Sportback,,,,,,,30 TFSI,,,,"Elektromechanische Lenkung mit geschwindigkeitsabhängiger Servounterstützung; Wendekreis ca. 10,6 m",,,85,116,,85 ,,,,,,,,"1,660",121,131,,Vorderradantrieb,,,,,,"Diagonal-2-Kreis Bremssystem mit ESC/ABS/EBV, Bremskraftverstärker, hydraulischer Bremsassistent; vorn: Faustsattel, Bremsscheibe innenbelüftet; hinten: Faustsattel mit integrierter Parkbremse",,,,,,,,,"Reihen-3-Zylinder-Ottomotor mit Direkteinspritzung, Lambda-Regelung, Klopfregelung und Abgasturboaufladung",,,,,,6-Gang-Handschaltgetriebe,,,https://www.audi.de/de/brand/de/neuwagen/a1/a1-sportback.engine_compare.GBAAU42_2024.techdata.html,https://www.audi.de/de/brand/de/neuwagen/a1/a1-sportback.modelsinfo.mv-552.92.313813.json,https://www.audi.de/de/brand/de/neuwagen/a1/a1-sportback.carinfo.mv-552.92.313813.json
GBAAPG2_2024,AUDI AG,DE,Audi,A1,A1 Sportback 30 TFSI S tronic,2024,,,Sportback,,,,,,,30 TFSI,,,,"Elektromechanische Progressivlenkung mit geschwindigkeitsabhängiger Servounterstützung; Wendekreis ca. 10,6 m",,,85,116,,85 ,,,,,,,,"1,680",125,132,,Vorderradantrieb,,,,,,"Diagonal-2-Kreis Bremssystem mit ESC/ABS/EBV, Bremskraftverstärker, hydraulischer Bremsassistent; vorn: Faustsattel, Bremsscheibe innenbelüftet; hinten: Faustsattel mit integrierter Parkbremse",,,,,,,,,"Reihen-3-Zylinder-Ottomotor mit Direkteinspritzung, Lambda-Regelung, Klopfregelung und Abgasturboaufladung",,,,,,7-Gang S tronic,,,https://www.audi.de/de/brand/de/neuwagen/a1/a1-sportback.engine_compare.GBAAU42_2024.techdata.html,https://www.audi.de/de/brand/de/neuwagen/a1/a1-sportback.modelsinfo.mv-552.92.313813.json,https://www.audi.de/de/brand/de/neuwagen/a1/a1-sportback.carinfo.mv-552.92.313813.json
GBAAHG2_2024,AUDI AG,DE,Audi,A1,A1 Sportback 35 TFSI S tronic,2024,,,Sportback,,,,,,,35 TFSI,,,,Elektromechanische Lenkung mit geschwindigkeitsabhängiger Servounterstützung,,,110,150,,110 ,,,,,,,,"1,710",125,131,,Vorderradantrieb,,,,,,"Diagonal-2-Kreis Bremssystem mit ESC/ABS/EBV, Bremskraftverstärker, hydraulischer Bremsassistent; vorn: Faustsattel, Bremsscheibe innenbelüftet; hinten: Faustsattel mit integrierter Parkbremse",,,,,,,,,"Reihen-4-Zylinder-Ottomotor mit Direkteinspritzung, Lambda-Regelung, Klopfregelung und Abgasturboaufladung",,,,,,7-Gang S tronic,,,https://www.audi.de/de/brand/de/neuwagen/a1/a1-sportback.engine_compare.GBAAU42_2024.techdata.html,https://www.audi.de/de/brand/de/neuwagen/a1/a1-sportback.modelsinfo.mv-552.92.313813.json,https://www.audi.de/de/brand/de/neuwagen/a1/a1-sportback.carinfo.mv-552.92.313813.json
GBABU42_2024,AUDI AG,DE,Audi,A1,A1 Sportback advanced 25 TFSI Schaltgetriebe,2024,,,Sportback,,,,,,,advanced 25 TFSI,,,,"Elektromechanische Lenkung mit geschwindigkeitsabhängiger Servounterstützung; Wendekreis ca. 10,6 m",,,70,95,,70 ,,,,,,,,"1,630",123,129,,Vorderradantrieb,,,,,,"Diagonal-2-Kreis Bremssystem mit ESC/ABS/EBV, Bremskraftverstärker, hydraulischer Bremsassistent; vorn: Faustsattel, Bremsscheibe innenbelüftet",,,,,,,,,"Reihen-3-Zylinder-Ottomotor mit Direkteinspritzung, Lambda-Regelung, Klopfregelung und Abgasturboaufladung",,,,,,5-Gang-Handschaltgetriebe,,,https://www.audi.de/de/brand/de/neuwagen/a1/a1-sportback.engine_compare.GBAAU42_2024.techdata.html,https://www.audi.de/de/brand/de/neuwagen/a1/a1-sportback.modelsinfo.mv-552.92.313813.json,https://www.audi.de/de/brand/de/neuwagen/a1/a1-sportback.carinfo.mv-552.92.313813.json
GBABUG2_2024,AUDI AG,DE,Audi,A1,A1 Sportback advanced 25 TFSI S tronic,2024,,,Sportback,,,,,,,advanced 25 TFSI,,,,"Elektromechanische Lenkung mit geschwindigkeitsabhängiger Servounterstützung; Wendekreis ca. 10,6 m",,,70,95,,70 ,,,,,,,,"1,675",126,132,,Vorderradantrieb,,,,,,"Diagonal-2-Kreis Bremssystem mit ESC/ABS/EBV, Bremskraftverstärker, hydraulischer Bremsassistent; vorn: Faustsattel, Bremsscheibe innenbelüftet",,,,,,,,,"Reihen-3-Zylinder-Ottomotor mit Direkteinspritzung, Lambda-Regelung, Klopfregelung und Abgasturboaufladung",,,,,,7-Gang S tronic,,,https://www.audi.de/de/brand/de/neuwagen/a1/a1-sportback.engine_compare.GBAAU42_2024.techdata.html,https://www.audi.de/de/brand/de/neuwagen/a1/a1-sportback.modelsinfo.mv-552.92.313813.json,https://www.audi.de/de/brand/de/neuwagen/a1/a1-sportback.carinfo.mv-552.92.313813.json
GBABPC2_2024,AUDI AG,DE,Audi,A1,A1 Sportback advanced 30 TFSI Schaltgetriebe,2024,,,Sportback,,,,,,,advanced 30 TFSI,,,,"Elektromechanische Lenkung mit geschwindigkeitsabhängiger Servounterstützung; Wendekreis ca. 10,6 m",,,85,116,,85 ,,,,,,,,"1,660",124,131,,Vorderradantrieb,,,,,,"Diagonal-2-Kreis Bremssystem mit ESC/ABS/EBV, Bremskraftverstärker, hydraulischer Bremsassistent; vorn: Faustsattel, Bremsscheibe innenbelüftet; hinten: Faustsattel mit integrierter Parkbremse",,,,,,,,,"Reihen-3-Zylinder-Ottomotor mit Direkteinspritzung, Lambda-Regelung, Klopfregelung und Abgasturboaufladung",,,,,,6-Gang-Handschaltgetriebe,,,https://www.audi.de/de/brand/de/neuwagen/a1/a1-sportback.engine_compare.GBAAU42_2024.techdata.html,https://www.audi.de/de/brand/de/neuwagen/a1/a1-sportback.modelsinfo.mv-552.92.313813.json,https://www.audi.de/de/brand/de/neuwagen/a1/a1-sportback.carinfo.mv-552.92.313813.json
GBABPG2_2024,AUDI AG,DE,Audi,A1,A1 Sportback advanced 30 TFSI S tronic,2024,,,Sportback,,,,,,,advanced 30 TFSI,,,,"Elektromechanische Progressivlenkung mit geschwindigkeitsabhängiger Servounterstützung; Wendekreis ca. 10,6 m",,,85,116,,85 ,,,,,,,,"1,680",127,132,,Vorderradantrieb,,,,,,"Diagonal-2-Kreis Bremssystem mit ESC/ABS/EBV, Bremskraftverstärker, hydraulischer Bremsassistent; vorn: Faustsattel, Bremsscheibe innenbelüftet; hinten: Faustsattel mit integrierter Parkbremse",,,,,,,,,"Reihen-3-Zylinder-Ottomotor mit Direkteinspritzung, Lambda-Regelung, Klopfregelung und Abgasturboaufladung",,,,,,7-Gang S tronic,,,https://www.audi.de/de/brand/de/neuwagen/a1/a1-sportback.engine_compare.GBAAU42_2024.techdata.html,https://www.audi.de/de/brand/de/neuwagen/a1/a1-sportback.modelsinfo.mv-552.92.313813.json,https://www.audi.de/de/brand/de/neuwagen/a1/a1-sportback.carinfo.mv-552.92.313813.json
GBABHG2_2024,AUDI AG,DE,Audi,A1,A1 Sportback advanced 35 TFSI S tronic,2024,,,Sportback,,,,,,,advanced 35 TFSI,,,,Elektromechanische Lenkung mit geschwindigkeitsabhängiger Servounterstützung,,,110,150,,110 ,,,,,,,,"1,710",126,130,,Vorderradantrieb,,,,,,"Diagonal-2-Kreis Bremssystem mit ESC/ABS/EBV, Bremskraftverstärker, hydraulischer Bremsassistent; vorn: Faustsattel, Bremsscheibe innenbelüftet; hinten: Faustsattel mit integrierter Parkbremse",,,,,,,,,"Reihen-4-Zylinder-Ottomotor mit Direkteinspritzung, Lambda-Regelung, Klopfregelung und Abgasturboaufladung",,,,,,7-Gang S tronic,,,https://www.audi.de/de/brand/de/neuwagen/a1/a1-sportback.engine_compare.GBAAU42_2024.techdata.html,https://www.audi.de/de/brand/de/neuwagen/a1/a1-sportback.modelsinfo.mv-552.92.313813.json,https://www.audi.de/de/brand/de/neuwagen/a1/a1-sportback.carinfo.mv-552.92.313813.json
