area_name,brake_disc_thickness,brake_name,brake_system_type,brand,capacity_i,co2_emission_from_gkm,co2_emission_to_gkm,company,composite_name,emission_standard,end_of_production_to,end_of_sales_to,energy_type,front_brake_detail,front_brake_name,front_brake_outer_diameter,generation_year,gross_vehicle_weight,market_segment,model_code,model_url,output_power_hp,output_power_kw,power_train_type,power_transmission_type,power_transoutput_type,product_group_url,rear_brake_detail,rear_brake_name,rear_brake_outer_diameter,sales_geo_area,sales_horse_power_hp,start_of_production_from,start_of_sales_from,transmission,trim_name,trim_url,type_code,type_name,version_year,voltage_type
,,,,Yamaha,689.0,,,Yamaha Motor,YZF-R7HO,,,,,Hydraulic dual discs,,298mm,,188,,,https://www.yamaha-motor.com.au/products/motorcycle/road/supersport/yzf-r7ho,,,Fuel Injection,Chain,,https://www.yamaha-motor.com.au/products/motorcycle/road,Hydraulic single disc,,245mm,,,,,Constant mesh 6-speed,Supersport,https://www.yamaha-motor.com.au/products/motorcycle/road/supersport,,YZF-R7HO,,
,,,,Yamaha,155.0,,,Yamaha Motor,YZF-R15M,,,,,Hydraulic single disc,,282mm,,140,,,https://www.yamaha-motor.com.au/products/motorcycle/road/supersport/yzf-r15m,,,Fuel Injection,Chain,,https://www.yamaha-motor.com.au/products/motorcycle/road,Hydraulic single disc,,220mm,,,,,Constant mesh 6-speed,Supersport,https://www.yamaha-motor.com.au/products/motorcycle/road/supersport,,YZF-R15M,,
,,,,Yamaha,998.0,,,Yamaha Motor,YZF-R1,,,,,Hydraulic dual discs,,320mm,,201,,,https://www.yamaha-motor.com.au/products/motorcycle/road/supersport/yzf-r1,,,Fuel Injection,Chain,,https://www.yamaha-motor.com.au/products/motorcycle/road,Hydraulic single disc,,220mm,,,,,Constant mesh 6-speed,Supersport,https://www.yamaha-motor.com.au/products/motorcycle/road/supersport,,YZF-R1,,
,,,,Yamaha,321.0,,,Yamaha Motor,YZF-R3,,,,,Hydraulic single disc,,298mm,,167,,,https://www.yamaha-motor.com.au/products/motorcycle/road/supersport/yzf-r3,,,Fuel Injection,Chain,,https://www.yamaha-motor.com.au/products/motorcycle/road,Hydraulic single disc,,220mm,,,,,Constant mesh 6-speed,Supersport,https://www.yamaha-motor.com.au/products/motorcycle/road/supersport,,YZF-R3,,
,,,,Yamaha,1298.0,,,Yamaha Motor,FJR1300AE,,,,,Hydraulic dual discs,,320 mm,,292,,,https://www.yamaha-motor.com.au/products/motorcycle/road/sport-touring/fjr1300ae,,,Fuel Injection,Shaft,,https://www.yamaha-motor.com.au/products/motorcycle/road,Hydraulic single disc,,282 mm,,,,,Constant mesh 6-speed,Sport Touring,https://www.yamaha-motor.com.au/products/motorcycle/road/sport-touring,,FJR1300AE,,
,,,,Yamaha,655.0,,,Yamaha Motor,YZF-R7LA,,,,,Hydraulic dual discs,,298mm,,188,,,https://www.yamaha-motor.com.au/products/motorcycle/road/supersport/yzf-r7la,,,Fuel Injection,Chain,,https://www.yamaha-motor.com.au/products/motorcycle/road,Hydraulic single disc,,245mm,,,,,Constant mesh 6-speed,Supersport,https://www.yamaha-motor.com.au/products/motorcycle/road/supersport,,YZF-R7LA,,
,,,,Yamaha,889.0,,,Yamaha Motor,XSR900,,,,,Hydraulic dual discs,,298mm,,193,,,https://www.yamaha-motor.com.au/products/motorcycle/road/sport-heritage/xsr900,,,Fuel Injection,Chain,,https://www.yamaha-motor.com.au/products/motorcycle/road,Hydraulic single disc,,245mm,,,,,Constant mesh 6-speed,Sport Heritage,https://www.yamaha-motor.com.au/products/motorcycle/road/sport-heritage,,XSR900,,
,,,,Yamaha,998.0,,,Yamaha Motor,MT-10SP,,,,,Hydraulic dual discs,,320 mm,,214,,,https://www.yamaha-motor.com.au/products/motorcycle/road/maximum-torque/mt-10sp,,,Fuel Injection,Chain,,https://www.yamaha-motor.com.au/products/motorcycle/road,Hydraulic single disc,,220mm,,,,,Constant mesh 6-speed,Maximum Torque,https://www.yamaha-motor.com.au/products/motorcycle/road/maximum-torque,,MT-10SP,,
,,,,Yamaha,599.0,,,Yamaha Motor,YZF-R6,,,,,Hydraulic dual discs,,320mm,,185,,,https://www.yamaha-motor.com.au/products/motorcycle/road/supersport/yzf-r6,,,Fuel Injection,Chain,,https://www.yamaha-motor.com.au/products/motorcycle/road,Hydraulic single disc,,220mm,,,,,Constant mesh 6-speed,Supersport,https://www.yamaha-motor.com.au/products/motorcycle/road/supersport,,YZF-R6,,
,,,,Yamaha,847.0,,,Yamaha Motor,NIKEN GT,,,,,Hydraulic dual discs,,298mm,,267,,,https://www.yamaha-motor.com.au/products/motorcycle/road/sport-touring/niken-gt,,,Fuel Injection,Chain,,https://www.yamaha-motor.com.au/products/motorcycle/road,Hydraulic single disc,,282mm,,,,,Constant mesh 6-speed,Sport Touring,https://www.yamaha-motor.com.au/products/motorcycle/road/sport-touring,,NIKEN GT,,
