Product link,Property type,Property Name or Title,Address / Google Pin address,About the property / Details,Bedrooms,Bathrooms,Room Furnishing,Rent per month,Security deposit,Bills,Preferred gender,Roomies preference,Date available,Phone Number,Ameneties for free,Images
https://rentin.ae/real-estate/rooms/furnished-family-room-available-in-al-qusais?id=10340&p=furnished-family-room-available-in-al-qusais,Room for rent,Furnished Family Room available in Al Qusais,Al Qusais for Dubai,"Description, Very Nice Neat and Clean Furnished Apartment in new building. All facilities are there like kitchen, washing, internet, cleaner etc. Located on Damascus Street opposite to Al Qusais Plaza, Free Parking Area., Very close to Bus Stop, Very close to supermarket and restaurants",-,-,Yes,AED 1900,-,-,-,-,26 January,'+971507656828,"FURNISHED: Yes, BUILT IN WARDROBES: Yes, BALCONY: Yes, VIEW OF WATER: No, VIEW OF LANDMARK: No, PETS ALLOWED: No, MAID SERVICE: No",https://rentin.ae/upload/img/Posts/10340/9tsnTfDN.jpg
https://rentin.ae/real-estate/rooms/bed-space-for-ladies-room?id=10452&p=bed-space-for-ladies-room,Room for rent,BED SPACE FOR LADIES / ROOM,Bur Dubai for Dubai,"Description, Available LADIES BED SPACE at BUR
DUBAI , Indians only – Mumbai/
Malayali/Mangalorean/Goan/ Tamil, 3 Sharing/ 4 Sharing/ 5 Sharing Bed
Space, 6 MINUTES WALK FROM AL GHUBAIBA
METRO STATION, Including DEWA, WiFi, Botim,
Fridge, Window AC, Cupboards, Dining table Chairs. , Contact Priya 00971554807959",-,-,Yes,AED 700,-,-,-,-,24 February,'+971554807959,"FURNISHED: Yes, BUILT IN WARDROBES: Yes, BALCONY: Yes, VIEW OF WATER: No, VIEW OF LANDMARK: No, PETS ALLOWED: No, MAID SERVICE: No","https://rentin.ae/upload/img/Posts/10452/G52hnd4N.jpg , https://rentin.ae/upload/img/Posts/10452/Hi3rR58n.jpg , https://rentin.ae/upload/img/Posts/10452/tsQNiY6d.jpg , https://rentin.ae/upload/img/Posts/10452/bEN4789E.jpg , https://rentin.ae/upload/img/Posts/10452/nrBA8DYr.jpg , https://rentin.ae/upload/img/Posts/10452/BtZsrERR.jpg , https://rentin.ae/upload/img/Posts/10452/AaasGTnD.jpg"
https://rentin.ae/real-estate/rooms/available-ladies-bed-space-at-bur-dubai?id=10451&p=available-ladies-bed-space-at-bur-dubai,Room for rent,Available LADIES BED SPACE at BUR DUBAI,Bur Dubai for Dubai,"Description, Available LADIES BED SPACE at BUR
DUBAI , Indians only – Mumbai/
Malayali/Mangalorean/Goan/ Tamil, 3 Sharing/ 4 Sharing/ 5 Sharing Bed
Space, 6 MINUTES WALK FROM AL GHUBAIBA
METRO STATION, Including DEWA, WiFi, Botim,
Fridge, Window AC, Cupboards, Dining table Chairs. , Contact Priya 00971554807959",-,-,No,AED 700,-,-,-,-,17 February,'+971554807959,"FURNISHED: No, BUILT IN WARDROBES: Yes, BALCONY: Yes, VIEW OF WATER: No, VIEW OF LANDMARK: No, PETS ALLOWED: No, MAID SERVICE: No","https://rentin.ae/upload/img/Posts/10451/9fQ8F7BA.jpg , https://rentin.ae/upload/img/Posts/10451/7tBY7T6T.jpg , https://rentin.ae/upload/img/Posts/10451/8Ea9iKd6.jpg , https://rentin.ae/upload/img/Posts/10451/eRtr88hi.jpg , https://rentin.ae/upload/img/Posts/10451/nYz4ZbNz.jpg , https://rentin.ae/upload/img/Posts/10451/na6nn6TG.jpg , https://rentin.ae/upload/img/Posts/10451/Senh36Fd.jpg"
https://rentin.ae/real-estate/rooms/sharing-accommodation-for-indian-lady?id=10450&p=sharing-accommodation-for-indian-lady,Room for rent,Sharing accommodation for Indian lady,Al Jafiliya for Dubai,"Description, Sharing room / Bed space available for working Indian executive lady, to share with the same., Fully furnished room with attached bathroom, preferably eggetarain or vegetarian ., Working professional will be given preference, house is near Max Metro station, it is in a family villa., Free parking outside, walking distance from Max Metro station",-,-,Yes,AED 1300,-,-,-,-,16 February,'+971563471435,"FURNISHED: Yes, BUILT IN WARDROBES: No, BALCONY: No, VIEW OF WATER: No, VIEW OF LANDMARK: No, PETS ALLOWED: No, MAID SERVICE: No","https://rentin.ae/upload/img/Posts/10450/HTyZrNst.jpg , https://rentin.ae/upload/img/Posts/10450/Z6KiKG2b.jpg , https://rentin.ae/upload/img/Posts/10450/SZy5QsiF.jpg , https://rentin.ae/upload/img/Posts/10450/6ds8eHd4.jpg , https://rentin.ae/upload/img/Posts/10450/kfTGy63K.jpg"
https://rentin.ae/real-estate/rooms/furnished-room-for-rent-for-family-or-executive-bachelors-in-al-quoz?id=10449&p=furnished-room-for-rent-for-family-or-executive-bachelors-in-al-quoz,Room for rent,Furnished Room for Rent for Family or Executive Bachelors in Al Quoz,Al Quoz for Dubai,"Description, Furnished Neat and Clean Room for Rent for Family or Executive Bachelors,, Near Al Khail Mall, Al Quoz,, Nearest Metro Station : Al Safa Metro station 5-10 min from room., just down side of building RTA Bus stop to easy access., Fridge, Automatic Washing Machine, AC, Double BED, Sofa, wardrobe cabinet etc., Note: You can cook only Vegetarian food in kitchen.",-,-,Yes,AED 2700,-,-,-,-,16 February,'+971524089125,"Area, sqft:1200 Yes, FURNISHED: Yes, BUILT IN WARDROBES: Yes, BALCONY: No, VIEW OF WATER: No, VIEW OF LANDMARK: No, PETS ALLOWED: No, MAID SERVICE: No","https://rentin.ae/upload/img/Posts/10449/b9nB9Ree.jpg , https://rentin.ae/upload/img/Posts/10449/Ez9kAiyD.jpg , https://rentin.ae/upload/img/Posts/10449/kHKbFykE.jpg , https://rentin.ae/upload/img/Posts/10449/2yKED9Gk.jpg"
https://rentin.ae/real-estate/rooms/available-ladies-bed-space-at-bur-dubai?id=10447&p=available-ladies-bed-space-at-bur-dubai,Room for rent,Available LADIES BED SPACE at BUR DUBAI,Bur Dubai for Dubai,"Description, Available LADIES BED SPACE at BUR
DUBAI , Indians only – Mumbai/
Malayali/Mangalorean/Goan/ Tamil, 3 Sharing/ 4 Sharing/ 5 Sharing Bed
Space, 6 MINUTES WALK FROM AL GHUBAIBA
METRO STATION, Including DEWA, WiFi, Botim,
Fridge, Window AC, Cupboards, Dining table Chairs. , Contact Priya 00971554807959",-,-,Yes,AED 700,-,-,-,-,14 February,'+971554807959,"FURNISHED: Yes, BUILT IN WARDROBES: Yes, BALCONY: Yes, VIEW OF WATER: No, VIEW OF LANDMARK: No, PETS ALLOWED: No, MAID SERVICE: No",https://rentin.ae/upload/img/Posts/10447/DzAd5ba9.jpg
https://rentin.ae/real-estate/rooms/ladies-executive-single-beds-available-at-burdubai?id=10443&p=ladies-executive-single-beds-available-at-burdubai,Room for rent,Ladies Executive Single beds available at BURDUBAI,Bur Dubai for Dubai,"Description, 
										Available LADIES BED SPACE at BUR
DUBAI, Indians only – Mumbai/
Malayali/Mangalorean/Goan/ Tamil, 3 Sharing/ 4 Sharing/ 5 Sharing Bed
Space, 6 MINUTES WALK FROM AL GHUBAIBA
METRO STATION, Including DEWA, WiFi, Botim,
Fridge, Window AC, Cupboards, Dining table Chairs., Contact Priya 00971554807959",-,-,Yes,AED 700,-,-,-,-,2 February,'+971554807959,"FURNISHED: Yes, BUILT IN WARDROBES: Yes, BALCONY: Yes, VIEW OF WATER: No, VIEW OF LANDMARK: No, PETS ALLOWED: No, MAID SERVICE: No","https://rentin.ae/upload/img/Posts/10443/nGSn63y7.jpg , https://rentin.ae/upload/img/Posts/10443/ZDkbZH77.jpg , https://rentin.ae/upload/img/Posts/10443/tZrtyb6E.jpg , https://rentin.ae/upload/img/Posts/10443/RTnK9nA5.jpg , https://rentin.ae/upload/img/Posts/10443/byShhGHY.jpg , https://rentin.ae/upload/img/Posts/10443/EThsYs2H.jpg , https://rentin.ae/upload/img/Posts/10443/Ky53erGD.jpg"
https://rentin.ae/real-estate/rooms/fully-furnished-room-with-kitchen?id=10397&p=fully-furnished-room-with-kitchen,Room for rent,Fully furnished room with kitchen,Rolla for Sharjah,"Description, 
										Fully furnished room with master bed and kitchen with all appliances available on very reasonable monthly rent                                    ",-,-,Yes,AED 1400,-,-,-,-,3 September,'+971503947599,"FURNISHED: Yes, BUILT IN WARDROBES: No, BALCONY: Yes, VIEW OF WATER: Yes, VIEW OF LANDMARK: No, PETS ALLOWED: No, MAID SERVICE: No",https://rentin.ae/upload/img/Posts/10397/2tafszBN.jpg
https://rentin.ae/real-estate/rooms/furnished-room-for-rent?id=10386&p=furnished-room-for-rent,Room for rent,Furnished room for rent,Bur Dubai for Dubai,"Description, 
										Furnished room for rent in bur dubai only for couples & small families., Location is right behind ghubaiba bus station, easy access to metro and bus.",-,-,Yes,AED 1800,-,-,-,-,12 August,'+971567282308,"FURNISHED: Yes, BUILT IN WARDROBES: Yes, BALCONY: No, VIEW OF WATER: No, VIEW OF LANDMARK: No, PETS ALLOWED: No, MAID SERVICE: No",https://rentin.ae/upload/img/Posts/10386/EHyF64ks.jpg
https://rentin.ae/real-estate/rooms/bedspace-for-rent-for-executive-bachealor?id=10294&p=bedspace-for-rent-for-executive-bachealor,Room for rent,BEDSPACE FOR RENT FOR EXECUTIVE BACHEALOR,Muhaisnah for Dubai,"Description, EXECUTIVE BACHELOR BED SPACE FOR RENT IN MUHAISNAH. KERALITES ARE PREFERRED. ONLY AED 900/- PER MONTH AND INCLUDES DEWA, WIFI, COOKING GAS, WATER, AND WEEKLY CLEANING TWICE. KITCHEN AVAILABLE WITH AMENITIES FOR COOKING. THE FLAT IS LIMITED TO 4 PEOPLE ONLY. THELOCATION IS IN MUHAISNAH 4, NEXT TO MADINA MALL. FREE PARKING IS AVAILABLE NEARBY THE BUILDING. FOR DETAILS CALL / WHATSAPP: 0562363315",-,-,No,AED 900,-,-,-,-,26 February,'+971562363315,"FURNISHED: No, BUILT IN WARDROBES: No, BALCONY: Yes, VIEW OF WATER: No, VIEW OF LANDMARK: No, PETS ALLOWED: No, MAID SERVICE: No","https://rentin.ae/upload/img/Posts/10294/bYRaefTZ.jpg , https://rentin.ae/upload/img/Posts/10294/DYNzhtNz.jpg , https://rentin.ae/upload/img/Posts/10294/eFfr4KD2.jpg"
